1 0 1 0 0 1 1 0
1 0 1 0 0 0 1 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
1 0 0 0 0 1 0 0
0 1 0 0 1 1 0 0

#风速2-3, 26度

pulse 547
space 1659
pulse 570
space 556
pulse 546
space 1657
pulse 572
space 551
pulse 548
space 535
pulse 534
space 1667
pulse 572
space 1661
pulse 570
space 556
pulse 572
space 1658
pulse 572
space 556
pulse 546
space 1655
pulse 575
space 557
pulse 631
space 496
pulse 536
space 540
pulse 546
space 1657
pulse 573
space 556
pulse 572
space 557
pulse 545
space 556
pulse 546
space 557
pulse 596
space 481
pulse 514
space 589
pulse 543
space 556
pulse 546
space 556
pulse 547
space 551
pulse 549
space 558
pulse 510
space 565
pulse 545
space 556
pulse 545
space 558
pulse 543
space 558
pulse 570
space 558
pulse 542
space 538
pulse 618
space 482
pulse 542
space 557
pulse 544
space 1660
pulse 570
space 559
pulse 543
space 559
pulse 597
space 481
pulse 618
space 486
pulse 538
space 560
pulse 543
space 558
pulse 544
space 558
pulse 542
space 583
pulse 574
space 1584
pulse 558
space 567
pulse 542
space 559
pulse 570
space 562
pulse 567
space 559
pulse 543
space 559
pulse 542
space 586
pulse 572
space 480
pulse 559
space 541
pulse 539
space 589
pulse 543
space 559
pulse 544
space 558
pulse 570
space 559
pulse 542
space 561
pulse 542
space 536
pulse 510
space 589
pulse 546
space 1659
pulse 572
space 556
pulse 546
space 556
pulse 598
space 480
pulse 535
space 569
pulse 541
space 556
pulse 546
space 555
pulse 604
space 498
pulse 602
space 478
pulse 649
space 480
pulse 514
space 586
pulse 603
space 497
pulse 632
space 497
pulse 603
space 502
pulse 599
space 479
pulse 517
space 584
pulse 494
space 608
pulse 543
space 585
pulse 600
space 499
pulse 596
space 506
pulse 520
space 582
pulse 497
space 582
pulse 546
space 583
pulse 495
space 607
pulse 604
space 497
pulse 596
space 505
pulse 597
space 505
pulse 496
space 583
pulse 612
space 490
pulse 522
space 578
pulse 598
space 504
pulse 593
space 509
pulse 596
space 506
pulse 495
space 585
pulse 493
space 608
pulse 521
space 607
pulse 517
space 583
pulse 597
space 506
pulse 594
space 1586
pulse 649
space 479
pulse 497
space 606
pulse 521
space 578
pulse 618
space 510
pulse 519
space 1685
pulse 578
space 550
pulse 515
space 563
pulse 537
space 567
pulse 522
space 1680
pulse 619
space 509
pulse 578
space 549
pulse 520
space 1685
pulse 577
space 1653
pulse 625
space 478
pulse 519
space 585
pulse 524
pulse 129594
